I,K,step,gamma,ave_so,ave_best,ave_worst,ave_ue_assign,ave_ue_misplace, ave_lb, ave_ub
20,4,10,0,194128,194258,199478,199478,664.2,199152,199478
20,4,10,5,195384,195384,204179,196964,1443,204179,204480
20,4,10,10,197844,197844,211240,196810,1443,211240,211488
20,4,10,15,200202,200202,217863,196218,1443,217863,218227
20,4,10,20,208922,208922,230928,202068,1443,230928,231267
20,4,10,25,212478,212478,238869,202794,1443,238869,239217
20,4,10,30,213536,213536,244009,200719,1443,244009,244445
20,4,10,35,214492,214492,249435,198930,1443,249435,249795
20,4,10,40,217949,217949,257250,199530,1443,257250,257596
20,4,10,45,221390,221390,264796,199861,1443,264796,265052
20,4,10,50,224700,224700,272649,200499,1443,272649,272988
20,4,20,0,191327,191746,201383,201383,714.4,200672,201383
20,4,20,5,194411,194442,208222,201007,1443,208222,208853
20,4,20,10,198301,198301,216086,201656,1443,216086,216702
20,4,20,15,202860,202860,224979,203334,1443,224979,225643
20,4,20,20,207137,207137,233900,205040,1443,233900,234537
20,4,20,25,201288,201288,232653,196578,1443,232653,233038
20,4,20,30,210366,210366,245594,202304,1443,245594,246432
20,4,20,35,208712,208712,248211,197706,1443,248211,248836
20,4,20,40,211196,211196,254871,197151,1443,254871,255440
20,4,20,45,220423,220423,268940,204005,1443,268940,269336
20,4,20,50,220826,220826,273068,200918,1443,273068,273602
20,4,30,0,201505,201862,216226,216225,711.9,215215,216226
20,4,30,5,198570,198740,216225,209010,1443,216225,217039
20,4,30,10,195204,195207,218001,203571,1443,218001,218850
20,4,30,15,201933,201933,229007,207362,1443,229007,230008
20,4,30,20,205276,205276,236865,208005,1443,236865,237804
20,4,30,25,196787,196787,231917,195842,1443,231917,232608
20,4,30,30,201880,201880,242169,198879,1443,242169,243093
20,4,30,35,220267,220267,263768,213263,1443,263768,264788
20,4,30,40,210181,210181,258607,200887,1443,258607,259388
20,4,30,45,222201,222201,274290,209354,1443,274290,275416
20,4,30,50,219356,219356,275911,203761,1443,275911,276819
20,4,40,0,200765,201509,219989,219989,695.1,218647,219989
20,4,40,5,189700,189985,212565,205797,1353.6,212431,213854
20,4,40,10,199792,199915,225787,211357,1443,225787,227194
20,4,40,15,210169,210169,240964,219319,1443,240964,242225
20,4,40,20,202236,202236,237573,208713,1443,237573,238831
20,4,40,25,199613,199613,240119,204044,1443,240119,241411
20,4,40,30,195717,195717,239953,196663,1443,239953,241152
20,4,40,35,214291,214291,262238,211733,1443,262238,263307
20,4,40,40,224834,224834,276937,219217,1443,276937,278241
20,4,40,45,210292,210292,267842,202907,1443,267842,268902
20,4,40,50,217003,217003,278277,206127,1443,278277,279739
20,4,50,0,192828,193676,218868,218868,806.8,216926,218868
20,4,50,5,187573,187880,213339,206571,1353.6,213164,214636
20,4,50,10,187747,187996,220853,206423,1443,220853,222086
20,4,50,15,180914,180924,217356,195711,1443,217356,219072
20,4,50,20,194611,194611,233830,204970,1443,233830,235409
20,4,50,25,193061,193061,238307,202232,1443,238307,239993
20,4,50,30,205871,205871,254687,211397,1443,254687,256196
20,4,50,35,209424,209447,262239,211734,1443,262239,264115
20,4,50,40,206698,206698,263832,206112,1443,263832,265327
20,4,50,45,218432,218432,280387,215452,1443,280387,282157
20,4,50,50,217118,217118,282869,210719,1443,282869,284393