I,K, rate, gamma, instance, so_assignment, so_misplace, so_obj, best_assign, worst_assign, best_misplace, worst_misplace, best, worst, time_best, time_worst, worst_lb, worst_ub, gap, time_bound, ue_assign, ue_misplace,POA_assign,POA_misplace,POA,,,
20,8,3,40,1,172075,906,208315,172075,190663,906,4316,208315,359331,21750,1.47E+06,359331,363303,0.0110539,3833,186691,4316,11%,376%,74%,,,
20,8,3,40,2,184677,1026,225717,184677,191858,1026,4951,225717,389574,21250,627125,389574,389898,0.000831678,2125,191534,4951,4%,383%,73%,,,
20,8,3,40,3,177304,1021,218144,177304,191071,1021,4775,218144,380179,10916,632875,380179,382071,0.0049766,2084,189179,4775,8%,368%,75%,,,
20,8,3,40,4,165353,1014,205913,165353,189143,1014,4262,205913,353100,10167,683709,353100,359623,0.0184735,2250,182620,4262,14%,320%,75%,,,
20,8,3,40,5,191945,999,231905,191945,192332,999,4570,231905,375132,10917,599333,375132,375132,0,2291,192332,4570,0%,357%,62%,,,
20,8,3,40,6,156245,805,188445,156245,185892,805,3215,188445,305907,10041,685083,303787,314492,0.0352385,1667,179827,3152,19%,299%,67%,,,
20,8,3,40,7,173695,920,210495,173695,190783,920,4451,210495,365595,10667,631708,365595,368823,0.00882944,2042,187555,4451,10%,384%,75%,,,
20,8,3,40,8,172480,944,210240,172480,190708,944,3532,210240,328187,10375,610792,328187,331988,0.0115818,2125,186907,3532,11%,274%,58%,,,
20,8,3,40,9,172165,892,207845,172165,190645,892,3781,207845,337979,10459,650459,337979,341885,0.0115569,2167,186739,3781,11%,324%,64%,,,
20,8,3,40,10,166835,979,205995,166835,189195,979,4353,205995,357513,10250,679667,357513,363315,0.0162288,2167,183393,4353,13%,345%,76%,10.06%,343.02%,69.96%
20,8,4,40,1,176186,800,208186,176186,191043,800,3923,208186,345715,9167,635916,345715,347963,0.00650247,1958,188795,3923,8%,390%,67%,9.82%,344.42%,69.23%
20,8,4,40,2,173326,835,206726,173326,190778,835,4123,206726,352259,9625,649250,352259,355698,0.0097627,2042,187339,4123,10%,394%,72%,10.44%,345.55%,69.16%
20,8,4,40,3,166705,914,203265,166705,189758,914,3693,203265,333625,10708,649041,331302,337478,0.0186416,2250,187745,3647,14%,304%,66%,11.04%,339.18%,68.25%
20,8,4,40,4,183159,899,219119,183159,191759,899,4088,219119,354847,10417,565667,354847,355279,0.00121743,2000,191327,4088,5%,355%,62%,10.07%,342.62%,67.00%
20,8,4,40,5,179423,908,215743,179423,191224,908,4374,215743,364891,10709,617792,364891,366184,0.00354352,2042,189931,4374,7%,382%,70%,10.71%,345.05%,67.80%
20,8,4,40,6,182193,1175,229193,182193,191696,1175,5418,229193,407580,9833,638792,407580,408416,0.00205113,2000,190860,5418,5%,361%,78%,9.34%,351.22%,68.93%
20,8,4,40,7,154389,785,185789,154389,185539,785,3349,185789,311630,10000,686958,307523,319499,0.0389434,2042,180350,3282,20%,327%,72%,10.37%,345.50%,68.60%
20,8,4,40,8,179893,1276,230933,179893,191514,1276,5377,230933,405203,10750,646167,405203,406594,0.00343285,2250,190123,5377,6%,321%,76%,9.96%,350.23%,70.42%
20,8,4,40,9,179572,1055,221772,179572,191396,1055,4958,221772,388315,10417,649042,388315,389716,0.0036079,2208,189995,4958,7%,370%,76%,9.54%,354.84%,71.54%
20,8,4,40,10,188311,817,220991,188311,192095,817,4119,220991,356809,10292,609334,356809,356855,0.000128921,2500,192049,4119,2%,404%,61%,8.40%,360.79%,70.05%
20,8,5,40,1,183834,251,193874,183834,191709,251,1516,193874,251815,9875,490000,251815,252349,0.0021206,1750,191175,1516,4%,504%,30%,7.99%,372.15%,66.36%
20,8,5,40,2,172129,877,207209,172129,190248,877,4750,207209,376523,10291,649667,376523,380248,0.00989315,2208,186523,4750,11%,442%,84%,8.04%,376.93%,67.50%
20,8,5,40,3,169605,396,185445,169605,190380,396,1709,185445,255350,10375,608542,255350,258740,0.0132759,2375,186990,1709,12%,332%,40%,7.88%,379.69%,64.85%
20,8,5,40,4,191163,1014,231723,191163,192281,1014,4820,231723,385081,9000,572416,385081,385081,0,1542,192281,4820,1%,375%,66%,7.47%,381.75%,65.25%
20,8,5,40,5,180675,1289,232235,180675,191597,1289,5031,232235,391635,10667,656208,391635,392837,0.00306918,2167,190395,5031,6%,290%,69%,7.41%,372.61%,65.20%
20,8,5,40,6,176413,757,206693,176413,190580,757,4319,206693,361475,9583,628833,361475,363340,0.00515942,2083,188715,4319,8%,471%,76%,7.69%,383.55%,64.96%
20,8,5,40,7,188725,1511,249165,188725,192122,1511,5617,249165,416746,10750,659083,416746,416802,0.000134374,2083,192066,5617,2%,272%,67%,5.86%,378.06%,64.49%
20,8,5,40,8,146370,875,181370,146370,181643,875,3598,181370,316093,10709,731125,307287,325563,0.0594753,2292,172173,3598,24%,311%,80%,7.62%,377.04%,64.83%
20,8,5,40,9,168471,890,204071,168471,189533,890,3965,204071,343019,11042,627959,343019,348133,0.0149088,2375,184419,3965,13%,346%,71%,8.21%,374.60%,64.32%
20,8,5,40,10,191531,1153,237651,191531,192305,1153,5721,237651,421145,11042,627875,421145,421145,0,2334,192305,5721,0%,396%,77%,8.05%,373.80%,65.89%